T/1	CR/1	CS/2		US/1	Cortex/2		Thalamus/2		Hippocampus.BindDelta/4				Hippocampus.Context/4				V/3			W/2		
51	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.738	0.672	0.000	0.358	0.447	
52	0.225	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.738	0.672	0.000	0.358	0.447	
53	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.738	0.672	0.000	0.358	0.447	
54	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.738	0.738	0.000	0.358	0.358	
55	0.225	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.738	0.738	0.000	0.358	0.358	
56	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.738	0.738	0.000	0.358	0.358	
57	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.738	0.738	0.000	0.510	0.510	
58	0.760	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.738	0.738	0.000	0.510	0.510	
59	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.738	0.738	0.000	0.510	0.510	
60	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.790	0.738	0.000	0.408	0.510	
61	0.228	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.790	0.738	0.000	0.408	0.510	
62	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.790	0.738	0.000	0.408	0.510	
63	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.790	0.790	0.000	0.408	0.408	
64	0.228	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.790	0.790	0.000	0.408	0.408	
65	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.790	0.790	0.000	0.408	0.408	
66	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.790	0.790	0.000	0.561	0.561	
67	0.765	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.790	0.790	0.000	0.561	0.561	
68	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.790	0.790	0.000	0.561	0.561	
69	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.832	0.790	0.000	0.449	0.561	
70	0.229	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.832	0.790	0.000	0.449	0.561	
71	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.832	0.790	0.000	0.449	0.561	
72	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.832	0.832	0.000	0.449	0.449	
73	0.229	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.832	0.832	0.000	0.449	0.449	
74	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.832	0.832	0.000	0.449	0.449	
75	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.832	0.832	0.000	0.602	0.602	
76	0.767	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.832	0.832	0.000	0.602	0.602	
77	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.832	0.832	0.000	0.602	0.602	
78	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.866	0.832	0.000	0.482	0.602	
79	0.230	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.866	0.832	0.000	0.482	0.602	
80	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.866	0.832	0.000	0.482	0.602	
81	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.866	0.866	0.000	0.482	0.482	
82	0.230	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.866	0.866	0.000	0.482	0.482	
83	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.866	0.866	0.000	0.482	0.482	
84	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.866	0.866	0.000	0.635	0.635	
85	0.768	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.866	0.866	0.000	0.635	0.635	
86	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.866	0.866	0.000	0.635	0.635	
87	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.893	0.866	0.000	0.508	0.635	
88	0.230	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.893	0.866	0.000	0.508	0.635	
89	0.000	1.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.893	0.866	0.000	0.508	0.635	
90	0.000	0.000	0.000	0.000	0.000	0.000	1.000	1.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.893	0.893	0.000	0.508	0.508	
91	0.230	0.000	0.000	0.000	1.000	1.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.893	0.893	0.000	0.508	0.508	
92	0.000	1.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	1.000	0.000	0.000	0.000	0.893	0.893	0.000	0.508	0.508	
93	0.000	0.000	0.000	1.000	0.000	0.000	1.000	0.000	0.000	0.000	0.000	0.000	1.000	0.000	0.000	0.000	0.893	0.893	0.000	0.662	0.662	
