sep=;
T/1;CR/1;CS/3;;;US/1;Cortex/3;;;Thalamus/3;;;Hippocampus.BindDelta/4;;;;Hippocampus.Context/4;;;;V/4;;;;W/3;;;
55;0.849;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.000;0.000;0.107;0.292;
56;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.000;0.000;0.107;0.292;
57;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.000;0.000;0.126;0.311;
58;0.096;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.000;0.000;0.126;0.311;
59;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.495;0.495;0.000;0.000;0.000;0.126;0.311;
60;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.497;0.497;0.000;0.000;0.000;0.101;0.311;
61;0.864;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.497;0.497;0.000;0.000;0.000;0.101;0.311;
62;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.497;0.497;0.000;0.000;0.000;0.101;0.311;
63;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.497;0.497;0.000;0.000;0.000;0.118;0.328;
64;0.085;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.497;0.497;0.000;0.000;0.000;0.118;0.328;
65;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.497;0.497;0.000;0.000;0.000;0.118;0.328;
66;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.498;0.498;0.000;0.000;0.000;0.094;0.328;
67;0.876;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.498;0.498;0.000;0.000;0.000;0.094;0.328;
68;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.498;0.498;0.000;0.000;0.000;0.094;0.328;
69;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.498;0.498;0.000;0.000;0.000;0.110;0.343;
70;0.076;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.498;0.498;0.000;0.000;0.000;0.110;0.343;
71;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.498;0.498;0.000;0.000;0.000;0.110;0.343;
72;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.088;0.343;
73;0.887;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.088;0.343;
74;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.088;0.343;
75;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.101;0.357;
76;0.068;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.101;0.357;
77;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.101;0.357;
78;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.081;0.357;
79;0.897;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.081;0.357;
80;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.081;0.357;
81;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.093;0.369;
82;0.062;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.093;0.369;
83;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.499;0.499;0.000;0.000;0.000;0.093;0.369;
84;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.075;0.369;
85;0.905;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.075;0.369;
86;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.075;0.369;
87;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.086;0.380;
88;0.056;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.086;0.380;
89;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.086;0.380;
90;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.069;0.380;
91;0.913;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.069;0.380;
92;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.069;0.380;
93;0.000;0.000;0.000;0.000;0.000;0.000;0.000;0.000;1.000;1.000;0.000;0.000;0.000;0.000;0.000;1.000;0.000;0.000;0.000;0.500;0.500;0.000;0.000;0.000;0.079;0.390;
